FacilityId,County,Place,Class,FacilityName,ReportedDate,ReportingYear,TotalServiceConnections,WholesaleConnections,RetailConnections,ServicesLead,ServicesUnknownMaterial,ServicesCopperLeadSolder,ServicesGalvanized,ServicesUnknownNotLead,ServicesCopperNonLeadSolder,ServicesCastDuctileIronTransite,ServicesPlastic
IL0970200,Lake,Fox Lake,village,Fox Lake (PWS),1/18/19 13:10,2018,2585,0,2585,2,1676,0,12,0,893,0,2
IL0975550,Lake,Fox Lake Hills,CDP,LCPWD - Fox Lake Hills Subdivision (PWS),4/11/19 8:31,2018,848,0,848,0,0,0,0,0,848,0,0
IL1110200,McHenry,Fox River Grove,village,Fox River Grove (PWS),3/19/19 8:54,2018,1724,0,1724,0,0,609,0,0,1115,0,0
IL1970400,Will,Frankfort,village,Frankfort (PWS),4/5/19 9:47,2018,11086,0,11086,0,11086,0,0,0,0,0,0
IL1370150,Morgan,Franklin,village,Franklin (PWS),3/25/19 9:54,2018,373,1,372,0,0,0,0,49,189,0,135
IL1030250,Lee,Franklin Grove,village,Franklin Grove (PWS),7/19/19 10:04,2018,371,0,371,0,120,0,100,0,100,0,51
IL0310960,Cook,Franklin Park,village,Franklin Park (PWS),5/6/19 12:17,2018,5898,0,5898,3235,0,0,23,0,2633,7,0
IL1630600,St. Clair,Freeburg,village,Freeburg (PWS),4/10/19 9:22,2018,2071,1,2070,0,986,0,0,0,1085,0,0
IL1994420,Williamson,Freeman Spur,village,Freeman Spur (PWS),4/1/19 10:52,2018,131,0,131,0,35,0,0,0,40,0,56
IL1770200,Stephenson,Freeport,city,Freeport (PWS),4/8/19 11:10,2018,13382,0,13382,2934,676,8829,76,2,0,462,403
IL1950250,Whiteside,Fulton,city,Fulton (PWS),4/10/19 10:32,2018,1700,0,1700,5,0,0,15,0,1650,0,30
IL1650150,Saline,Galatia,village,Galatia (PWS),3/28/19 15:02,2018,454,452,2,0,0,0,0,0,0,0,454
