"FacilityId","County","FacilityName","ReportedDate","ReportingYear","TotalServiceConnections","WholesaleConnections","RetailConnections","ServicesLead","ServicesUnknownMaterial","ServicesCopperLeadSolder","ServicesGalvanized","ServicesUnknownNotLead","ServicesCopperNonLeadSolder","ServicesCastDuctileIronTransite","ServicesPlastic"
"IL0895530","Kane","Highland Subdivision (PWS)","5/5/2020 2:43:33 AM","2019","20","0","20","0","0","0","0","20","0","0","0"
"IL0977189","Lake","Dayspring Bible College Water (PWS)","5/5/2020 2:23:06 AM","2019","3","0","3","0","0","0","0","0","3","0","0"
"IL0970220","Lake","Whispering Lakes Water System, Inc. (PWS)","5/4/2020 1:16:03 PM","2019","125","0","125","0","0","0","0","0","125","0","0"
"IL0977050","Lake","West Shoreland Subdivision (PWS)","5/4/2020 1:14:56 PM","2019","63","0","63","0","0","0","0","0","63","0","0"
"IL0977250","Lake","Towners Subdivision (PWS)","5/4/2020 1:13:56 PM","2019","68","0","68","0","0","0","0","0","62","0","6"
"IL0977100","Lake","Sylvan Lake 1st Subdivision (PWS)","5/4/2020 1:12:07 PM","2019","71","0","71","0","0","0","0","0","71","0","0"
"IL0971450","Lake","Riverwoods (PWS)","5/4/2020 1:10:59 PM","2019","816","0","816","0","0","0","0","0","816","0","0"
"IL0971160","Lake","Ports Sullivan Lake Owners Association (PWS)","5/4/2020 1:05:50 PM","2019","148","0","148","0","0","0","0","0","80","0","68"
"IL0315920","Cook","Mission Brook Sanitary District (PWS)","5/4/2020 12:33:49 PM","2019","500","0","500","0","0","0","0","0","500","0","0"
"IL0977320","Lake","LCPWD - Wadsworth Oaks Subdivision (PWS)","5/4/2020 12:31:35 PM","2019","63","0","63","0","0","0","0","0","63","0","0"
"IL1110011","McHenry","Harbor Lites-Pistakee Fishing Club (PWS)","5/4/2020 12:30:15 PM","2019","44","0","44","0","0","0","0","0","44","0","0"
"IL0970040","Lake","Green Oaks (PWS)","5/4/2020 12:29:15 PM","2019","492","0","492","0","0","0","0","0","492","0","0"
"IL0970100","Lake","Bannockburn (PWS)","5/4/2020 12:18:34 PM","2019","213","0","213","2","0","6","12","0","192","0","1"
